16 1 1 2 2 3 3 1 1524    0 
16 1 1 0 0 1 1 1  547    0 
16 1 0 0 1 1 1 1  645    0 
16 1 1 3 3 4 4 1  562    0 
16 1 0 3 0 4 4 1  546    0 
16 1 1 1 1 2 4 0  676    0 
16 1 0 1 2 2 2 1  558    0 
16 1 1 3 3 4 3 0  567    0 
16 1 1 2 2 3 3 1  444    0 
16 1 0 1 2 2 3 0  546    0 
16 1 1 3 3 4 4 1  569    0 
16 1 1 3 3 4 4 1  489    0 
16 1 0 0 1 1 1 1  644    0 
16 1 0 3 0 4 4 1  762    0 
16 1 0 0 1 1 2 0  882    0 
16 1 1 2 2 3 3 1  532    0 
16 1 0 2 3 3 3 1  526    0 
16 1 1 3 3 4 4 1  640    0 
16 1 1 1 1 2 2 1  622    0 
16 1 0 3 0 4 4 1  700    0 
16 1 1 2 2 3 3 1  622    0 
16 1 0 2 3 3 3 1  612    0 
16 1 0 2 3 3 3 1  443    0 
16 1 1 1 1 2 2 1  448    0 
16 1 1 0 0 1 1 1  454    0 
16 1 0 2 3 3 3 1  674    0 
16 1 0 1 2 2 3 0  558    0 
16 1 1 1 1 2 2 1  461    0 
16 1 0 3 0 4 4 1  674    0 
16 1 1 3 3 4 4 1  574    0 
16 1 1 0 0 1 1 1  550    0 
16 1 1 0 0 1 1 1  502    0 
16 1 1 1 1 2 2 1  625    0 
16 1 1 0 0 1 1 1  575    0 
16 1 0 2 3 3 4 0  535    0 
16 1 1 0 0 1 1 1  542    0 
16 1 1 1 1 2 2 1  511    0 
16 1 0 0 1 1 2 0  466    0 
16 1 0 2 3 3 4 0  476    0 
16 1 1 3 3 4 4 1  862    0 
16 1 0 1 2 2 2 1  667    0 
16 1 1 0 0 1 1 1 1174    0 
16 1 0 2 0 3 3 1  558    0 
16 1 1 3 3 4 4 1  558    0 
16 1 1 3 3 4 4 1  431    0 
16 1 0 0 2 1 3 0  437    0 
16 1 0 1 3 2 2 1  688    0 
16 1 0 0 2 1 1 1 1283    0 
16 1 0 2 0 3 3 1  527    0 
16 1 1 2 2 3 3 1  433    0 
16 1 1 2 2 3 3 1  398    0 
16 1 0 1 3 2 4 0  469    0 
16 1 0 2 0 3 3 1  767    0 
16 1 0 3 1 4 4 1  623    0 
16 1 1 0 0 1 1 1  421    0 
16 1 0 1 3 2 2 1  595    0 
16 1 0 2 0 3 3 1  587    0 
16 1 1 0 0 1 2 0  514    0 
16 1 0 3 1 4 4 1  667    0 
16 1 1 1 1 2 2 1  727    0 
16 1 0 2 0 3 3 1  633    0 
16 1 1 2 2 3 3 1  487    0 
16 1 1 1 1 2 2 1  770    0 
16 1 0 0 2 1 1 1  706    0 
16 1 0 2 0 3 3 1  717    0 
16 1 1 0 0 1 1 1  663    0 
16 1 0 2 0 3 3 1  739    0 
16 1 1 3 3 4 4 1  557    0 
16 1 1 3 3 4 4 1  517    0 
16 1 1 0 0 1 1 1  559    0 
16 1 0 1 3 2 2 1 1088    0 
16 1 1 1 1 2 2 1  459    0 
16 1 1 1 1 2 2 1  440    0 
16 1 0 0 2 1 1 1  581    0 
16 1 1 1 1 2 2 1  861    0 
16 1 1 2 2 3 3 1  546    0 
16 1 1 2 2 3 3 1  443   18 
16 1 0 2 0 3 3 1  568    0 
16 1 0 3 1 4 4 1  632    0 
16 1 0 1 3 2 2 1  638    0 
16 1 0 3 1 4 4 1  556    0 
16 1 1 0 0 1 1 1  692    0 
16 1 0 0 2 1 1 1  464    0 
16 1 0 0 2 1 1 1  436    0 
16 1 1 3 3 4 4 1  626    0 
16 1 0 2 0 3 3 1  640    0 
16 1 1 3 3 4 2 0  805    0 
16 1 0 0 2 1 1 1  778    0 
16 1 1 0 0 1 1 1  442    0 
16 1 1 3 3 4 4 1  599    0 
16 1 1 1 1 2 2 1  622    0 
